feature,description
"RR_Interval_ms","Previous RR interval in milliseconds"
"DWT_Total_Energy","Total energy of beat from DWT"
"QRS_Width_ms","Estimated QRS complex width (ms)"
"R_Amplitude_mV","R-peak amplitude relative to baseline (mV)"
"PR_Interval_ms","Estimated PR interval duration (ms)"
"QT_Interval_ms","Estimated QT interval duration (ms)"
"RMSSD_ms","Root mean square of successive RR differences (ms)"
"DWT_Energy_L1","DWT detail energy level 1 (highest freq band)"
"DWT_Energy_L2","DWT detail energy level 2"
"LF_HF_Ratio","Ratio of low/high frequency energy bands"
"LF_Energy","Low-frequency band energy (proxy)"
"ST_Deviation_mV","ST segment deviation (mV)"
"T_Amplitude_mV","T-wave amplitude (mV)"
"P_Width_ms","Estimated P-wave width (ms)"
"DWT_Energy_L3","DWT detail energy level 3 (low frequency band)"
"pNN50_pct","Percentage of successive RR diffs >50ms"
"HF_Energy","High-frequency band energy (proxy)"
"Skewness","Signal skewness for beat window"
"Kurtosis","Signal kurtosis for beat window"
"ZCR","Zero-crossing rate normalized by window length"
