Model,Accuracy,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro,Kappa,AUC_Macro
LCNN,0.9044748858447489,0.7184484633152747,0.9205907418187497,0.6503812001266172,0.9306237064225176,0.741784547715696,0.9916621209680313
PCNN,0.9488584474885845,0.8080735601852869,0.956522450812664,0.74160844563176,0.9662201292797267,0.849801243837736,0.9979016899263922
PTCNN,0.9127853881278539,0.7339402851682246,0.927874676505531,0.665642176708108,0.9449409013350522,0.7618507667825721,0.9947562887532438
2DCNN,0.9181735159817351,0.739846906743099,0.931593630080253,0.671372118248784,0.9415617758976051,0.7731673469735023,0.993312489532066
RF,0.973607305936073,0.8824159772420896,0.97602424774011,0.8288589890936893,0.967355690701711,0.9177967732476767,0.9984845686696937
XGB,0.9792694063926941,0.90239781407141,0.9806742518249766,0.8594733220684111,0.9633040332909613,0.9341341934226991,0.9980927311634963
ADA,0.8531506849315068,0.6391873084078916,0.8801085388699985,0.5749144490041707,0.8815382839806096,0.6344985568717014,0.9661493135191506
DH1: PCNN+PTCNN,0.9420091324200913,0.7893614694710563,0.9510642410920492,0.72178012042497,0.9621226330420448,0.832253996290855,0.9970988589363635
DH2: PCNN+RF,0.9597260273972603,0.8352956105674003,0.9649454649014905,0.7707961480181436,0.9699379873274024,0.8787480948891228,0.9985550206279152
DH3: PTCNN+RF,0.948310502283105,0.8049237177862203,0.9557386667628797,0.7385394195337506,0.9607789973584916,0.8479477994591998,0.9976750869082476
PROPOSED (Meta-Learner),0.9552511415525115,0.8203970111387353,0.9611612998310167,0.7535892451879311,0.9657191804602447,0.8667411488976857,0.9953157082135086
